ID,YearQrtr,Asset Growth Rate ,Gross Loans/ Assets ,Deposit Growth Rate ,Loans/ Deposits ,Interest Income/ Avg Assets ,Interest Expense/ Average Assets ,Net Interest Income/ Avg Assets ,Noninterest Income/ Average Assets ,Net Interest Margin ,Yield/ Cost Spread ,Operating Expense/ Operating Revenue ,Risk Based Capital Ratio ,Equity/ Assets ,Reserves/ NPAs ,Yield on Loans and Leases ,Cost of Funds , Change in Assets , Change in Deposits ,Net Chargeoffs/ Avg Loans ,Yield on Earning Assets ,Cost of Interest-bearing Liabilities ,Yield/ Cost Spread ,Yield on Securities & Other Assets ,Yield on Debt and Equity Securities ,Yield on Other Assets ,Cost of Int-bearing Deposits ,Cost of Borrowings ,Cost of Time Deposits > $250K ,Cost of Other Time Deposits ,Earning Assets/ IBL ,Liquidity Ratio ,Liquid Assets/ Assets ,One Year Gap/ Assets ,Asset-weighted Securities & Other Yield ,Asset-weighted Loan Yield ,Asset-weighted Securities Yield ,Liab-weigh Cost of Int-bear Dep ,Liability-wtd Borrowing Cost ,Asset-weighted Other Asset Yield ,ROAA ,U.S.Avg Rate _1Yr10K_CD,U.S.Avg Rate _5Yr10K_CD
BNk50,2007Q1,1.56,79.9,1.51,109.62,6.97,3.74,3.23,0.69,3.45,3.02,77.53,13.24,9.85,98.69,7.88,4.17,0.39,0.38,0.05,7.44,4.42,3.02,4.85,5.17,1.54,4.19,5.4,4.93,4.58,110.24,12.23,11.02,-11.79,0.72,6.72,0.7,3.37,1.05,0.02,0.5,4.73,4.8
BNk51,2007Q1,-4.75,80.38,-1.06,116.77,6,3.14,2.86,1.15,3.18,2.81,75.04,12.67,11.66,77.41,6.87,3.58,-1.19,-0.27,0.63,6.68,3.87,2.81,5.11,4.37,,3.46,5.11,3.85,6.66,111.01,6.56,5.8,-14.3,0.56,6.11,0.48,2.6,1.28,0.09,0.52,3.5,4
BNk52,2007Q1,-4.75,80.38,-1.06,116.73,6,3.14,2.86,1.15,3.14,2.67,75.04,12.63,11.64,77.41,6.87,3.58,-1.19,-0.27,0.63,6.59,3.93,2.67,4.55,4.37,6,3.46,5.47,3.82,6.62,111.01,6.56,5.8,-14.3,0.54,6.06,0.46,2.65,1.28,0.08,0.52,3.5,4
BNk53,2007Q1,34.56,57.79,39.12,66.09,6.22,1.61,4.64,0.95,4.86,4.32,73.85,23.5,11.3,679.17,7.83,1.85,8.64,9.78,-0.06,6.52,2.2,4.32,4.26,,-1.32,2.2,,,,132.84,44.57,39.54,,1.58,4.93,,2.2,,1.59,0.99,,
BNk54,2007Q1,-4.37,45.02,20.73,61.81,5.73,2.64,3.15,1.03,3.3,2.74,58.81,31,14.89,121.1,7.44,3.1,-1.09,5.18,0,5.99,3.26,2.74,4.77,,-1.44,3.1,4,,,119.6,59.94,51.01,,2.58,3.42,,2.54,0.72,2.57,1.58,,
BNk55,2007Q1,127.97,15.05,25.48,21.37,5.15,3.28,1.86,0.46,1.91,1.14,38.73,32.4,8.57,831.29,6.08,3.63,31.99,6.37,-0.01,5.27,4.13,1.14,5.13,5.06,5.3,3.2,10.51,4.4,4.27,109.65,70.44,64.14,18.8,4.35,0.93,3.11,2.8,1.34,1.23,0.86,3.5,5.25
BNk56,2007Q1,,15.05,,21.37,5.15,3.28,1.86,0.46,1.91,1.58,38.73,32.41,8.57,831.29,6.08,3.69,,,-0.01,5.27,3.69,1.58,5.13,5.06,5.3,3.23,5.25,,,109.65,70.44,64.14,20.97,4.36,0.91,3.14,2.49,1.21,1.22,0.86,3.5,5.25
BNk57,2007Q1,14.9,70.52,20.23,82.79,6.09,3.25,2.84,1.1,3.02,2.85,67.81,10.66,6.67,294.28,7.25,3.47,3.73,5.06,0.01,6.48,3.63,2.85,4.01,3.98,5.25,3.46,5.23,4.75,4.51,104.23,16.08,15,-19.45,0.96,5.51,0.76,3.15,0.47,0.21,0.82,,
BNk58,2007Q1,-6.91,77.82,3.62,120.66,5.5,3.34,2.24,0.17,2.42,2.1,105.59,21.75,11.34,96.43,6.2,3.79,-1.73,0.9,0,5.94,3.85,2.1,4.6,,-0.25,3.17,5.57,,,106.65,17.64,15.64,,0.74,5.21,,2.28,1.56,0.73,-0.09,,
BNk59,2007Q1,5.49,49.65,5.66,59.6,5.51,3.44,2.1,0.05,2.15,1.53,62.54,38.35,16.64,27.95,6.18,4.13,1.37,1.41,0,5.65,4.13,1.53,5.09,,,4.13,,,,117.02,58.22,48.54,,2.44,3.21,,4.13,,2.44,0.55,,
